234,482
232,469
241,412
241,416
243,416
244,419
243,421
244,423
245,427
246,425
246,429
245,429
244,428
244,432
246,432
245,438
240,431
235,435
235,439
239,436
238,440
234,437
235,435
237,440
236,441
237,447
240,440
237,441
235,440
242,442
240,444
240,440
243,443
237,444
234,443
237,445
239,448
233,441
235,442
235,447
236,442
239,439
242,446
236,441
234,445
238,446
239,446
238,443
243,445
240,441
237,446
238,445
239,446
234,446
236,441
235,446
235,446
235,442
238,446
234,447
236,447
236,448
237,446
237,444
238,447
234,445
235,442
238,447
239,447
238,443
239,447
239,449
237,443
238,447
241,448
239,446
237,445
239,448
239,447
240,444
239,444
234,445
234,443
234,446
235,448
239,445
238,444
234,441
234,445
237,447
238,448
241,448
240,444
236,444
238,445
243,449
241,445
239,444
236,443
234,444
235,444
241,447
239,444
237,446
235,442
235,444
237,447
243,446
242,446
235,448
234,446
238,442
238,445
240,444
241,442
236,447
234,446
237,441
237,442
234,444
237,443
237,445
236,447
238,446
239,444
237,448
236,461
239,443
239,444
242,444
239,444
238,448
235,444
240,448
239,441
241,446
240,445
235,446
233,446
239,444
241,442
241,445
237,445
233,446
232,446
238,442
243,447
242,447
237,446
234,444
234,443
240,442
244,442
241,444
236,446
235,443
240,444
242,442
242,443
237,445
233,447
232,447
238,442
243,446
238,446
237,445
236,445
235,443
240,443
242,446
238,447
235,445
238,448
240,443
240,441
241,446
236,446
234,446
235,444
240,447
240,447
239,448
238,447
235,442
237,439
242,446
241,447
240,446
240,444
240,448
237,441
240,440
240,448
238,450
238,443
238,444
236,442
237,446
241,447
239,446
238,441
240,445
239,444
238,445
240,447
238,447
237,446
238,443
238,448
238,445
239,442
239,445
237,449
238,445
237,443
238,444
240,443
240,445
236,447
235,444
239,441
242,442
239,460
241,443
238,446
237,447
239,443
242,447
238,445
238,442
237,446
235,450
240,450
240,449
237,447
234,447
236,443
236,439
237,445
240,447
239,447
235,447
236,448
238,443
239,441
240,443
239,444
235,442
234,443
237,445
239,449
239,446
241,446
236,444
234,447
238,448
239,446
236,448
238,447
237,447
237,440
238,441
239,444
236,445
236,442
238,445
239,448
239,446
240,447
236,448
237,448
238,446
238,448
237,444
239,446
234,443
236,441
235,449
236,448
234,460
240,444
241,447
238,443
237,442
237,446
235,443
237,446
240,447
237,445
236,449
236,446
235,448
234,447
234,448
236,446
235,443
238,445
239,446
236,442
236,443
238,445
